DMM.com証券,"株式会社DMM.com証券 (ディーエムエムドットコムしょうけん、英語: DMM.com Securities Co.,Ltd.) は、東京都中央区に本社を置く証券会社。DMM.comグループの1社である。"
EVOLUTION_JAPAN,"EVOLUTION JAPAN株式会社（エボリューション ジャパン、英: EVOLUTION JAPAN Co., Ltd.）は、EVOLUTION FINANCIAL GROUP傘下の商品先物取引・金現物取引・金融商品仲介業務を行う日本の企業。本社は東京都千代田区。代表取締役はジョン・フー（会長 兼 社長）。"
EVOLUTION_JAPAN証券,"EVOLUTION JAPAN証券株式会社（EVOLUTION JAPAN SECURITIES CO.,LTD.）は、東京都渋谷区に本社を置く日本の証券会社。EVOLUTION JAPANの子会社。関東財務局長（金商）第20号。"
Eワラント証券,eワラント証券（イーワラントしょうけん）は、東京都港区六本木に本社を置く、カバードワラント専業の証券会社。eワラント証券が発行するカバードワラントの一種であるeワラントはオプション取引を個人投資家向けに証券化した金融商品。直接eワラントを個人に販売することはなく、オンライン証券を通じて取引できる。
FXプライムbyGMO,株式会社FXプライムbyGMO（エフエックスプライムバイジーエムオー）は、GMOグループの外国為替取引専門の金融先物取引業者。みずほ信託銀行と信託契約を締結し、顧客からの預かり資産を信託口座にて分別管理している（信託分別管理）。情報セキュリティマネジメントシステム（ISMS）の国際規格である「ISO / IEC27001 : 2005」の認証を2007年1月に取得。システム運営、顧客情報の管理など会社の全業務において認証を取得している。外国為替保証金取引を取扱う専業会社としては国内初の認証取得になる。
GMOクリックホールディングス,"GMOクリックホールディングス株式会社（ジーエムオークリックホールディングス、GMO CLICK Holdings, Inc.）は、GMOインターネットグループの金融持株会社である。事業会社として傘下にGMOクリック証券やFXプライムbyGMOなどを有する。"
GMOクリック証券,"GMOクリック証券株式会社（ジーエムオークリックしょうけん、GMO CLICK Securities, Inc.）は、日本のインターネット証券会社である。GMOクリックホールディングスの100%子会社で、GMOインターネットの孫会社にあたる。"
PLANEX_TRADE.COM,"株式会社PLANEX TRADE.COM (英語: PLANEX TRADE.COM Co., Ltd.) は、かつて存在した外国為替証拠金取引 (FX) 等を手掛けた金融会社（関東財務局長（金商）第2512号）。旧商号は株式会社外為ジャパンおよび株式会社MJ。"
SBIインベストメント,"SBIインベストメント株式会社（SBI Investment Co., Ltd.）は、SBIホールディングス株式会社（以下「SBIHD」）の子会社で、ベンチャーキャピタルファンド等の運用・管理を行う株式会社である。"
SBIフューチャーズ,SBIフューチャーズ株式会社（エスビーアイフューチャーズ）は、かつて存在した外国為替証拠金取引（FX）を行う先物取引会社。日本初のオンライン専業商品先物取引会社であった。
SBIホールディングス,"SBIホールディングス株式会社（エスビーアイホールディングス、英: SBI Holdings, Inc.）は、日本の金融持株会社である。商号のSBIは、元々ソフトバンクグループの金融関連企業として設立されたため「SoftBank Investment」の略であったが、その後同グループを離脱し「Strategic Business Innovator（戦略的な事業の革新者）」の略に変更した。"
SBI証券,株式会社SBI証券（エスビーアイしょうけん）は、東京都港区六本木に本社を置く、SBIホールディングス傘下の証券会社。オンライン証券事業を中核とし、実店舗網も保有している。旧商号は、SBIイー・トレード証券株式会社。証券会社では珍しい商号が「前株」（株式会社が前に付く）の証券会社でもある（旧法人は後株であった）。
SBI証券_(1945-2007),SBI証券株式会社（えすびーあいしょうけん）は、かつて存在した日本の証券会社。2007年10月1日にSBIイー・トレード証券（現・株式会社SBI証券）に吸収合併された。
SMBCフレンド証券,"SMBCフレンド証券株式会社（エスエムビーシーフレンドしょうけん、英称：SMBC Friend Securities Co.,Ltd.）は、三井住友フィナンシャルグループ(SMFG)傘下の日本の準大手証券会社である。2006年（平成18年）9月1日の株式交換によりSMFGの完全子会社となっている。"
