ECI,"株式会社ECI(ECI, Inc.)は、ヒトの細胞機能の解析に基づく癌や炎症性疾患などの医薬品や治療法を開発する創薬企業。東京大学医科学研究所に在籍していた金ヶ崎士朗が、自らの研究成果をもとに設立した「バイオベンチャー」である。名古屋証券取引所セントレックスに株式上場していたが、上場廃止基準に抵触(有価証券報告書の提出遅延)したため、2012年11月に上場廃止となっている。"
JCRファーマ,JCRファーマ株式会社は、兵庫県芦屋市に本社を置く医薬品メーカー。
Meiji_Seika_ファルマ,"Meiji Seika ファルマ株式会社（メイジセイカファルマ、英文社名：Meiji Seika Pharma Co., Ltd. ）は、日本の医薬品製造業。明治ホールディングス株式会社の傘下企業。東京都中央区京橋に本社を置く。主に医療用医薬品のほか、農業用製品（除草剤、殺菌剤、植物成長調整剤など）、動物用医薬品も取り扱っている。"
UMNファーマ,株式会社UMNファーマ（ユーエムエヌファーマ、英: UMN Pharma Inc.）は、秋田県秋田市に本社、神奈川県横浜市西区みなとみらいに横浜本社を置くバイオベンチャー。
アサヒフードアンドヘルスケア,"アサヒフードアンドヘルスケア株式会社（英語：ASAHI FOOD & HEALTHCARE, LTD）は、東京都墨田区に本社をおくアサヒグループホールディングス傘下の健康食品・医薬品等を製造する企業である。主に、大衆薬、サプリメント等の製造・販売を手がけているが、酵母エキス等の業務用商品の製造も行っている。"
あすか製薬,"あすか製薬株式会社（あすかせいやく-、英語: ASKA Pharmaceutical Co., Ltd.）は、日本の医薬品企業である。"
アスゲン製薬,"アスゲン製薬株式会社（アスゲンせいやく、英語：ASGEN Pharmaceutical Co., Ltd.）は、岐阜県瑞浪市に本社を置く製薬会社である。2014年（平成26年）までは、愛知県名古屋市東区泉二丁目28番8号に本社を置いていた。"
アステラス製薬,アステラス製薬株式会社（アステラスせいやく、英語：Astellas Pharma Inc.）は、日本の製薬会社である。
アストラゼネカ,アストラゼネカ（AstraZeneca plc、NYSE:AZN）は、イギリスのロンドンに本社を置く製薬企業である。1999年にイギリスの大手化学会社ICIから医薬品部門が分離したゼネカと、スウェーデンに本拠を置き北欧最大の医薬品メーカーであったアストラが合併して誕生した。抗がん剤であり、上皮細胞成長因子阻害薬の「イレッサ」（一般名：ゲフィチニブ）の承認を世界に先駆けて日本で獲得したが、副作用などが問題となった。第4回ゲフィチニブ検討会にて、ガイドラインの周知を図ることでイレッサを使い続けることを決定した。日本には現地法人として、大阪市北区大深町のグランフロント大阪内にアストラゼネカ株式会社（AstraZeneca K.K.）本社を置く。また東京都千代田区丸の内の丸の内トラストタワー本館内に東京支社を置いている。ゼネカは旧ICI時代に住友化学（当時は住友化学工業）と合弁でアイ・シー・アイファーマを設立したことがあり、一方のアストラは旧藤沢薬品工業（現・アステラス製薬）と合弁で藤沢アストラを設立したことがあった（いずれも当社の前身にあたる）。
アスビオファーマ,アスビオファーマ株式会社は医薬品の研究開発を行う第一三共の子会社である。
アダプトゲン製薬,"アダプトゲン製薬株式会社（アダプトゲンせいやく、英語：ADAPTGEN PHARMACEUTICAL CO.,LTD. ）は、岐阜県多治見市に本社を置く医薬品・健康食品の製造・販売会社である。医薬品や医薬品原料を受託生産するほか、ヒアルロン酸などの健康食品を製造・販売する。"
アッヴィ,アッヴィ合同会社（AbbVie GK）は、日本の製薬会社。米国アッヴィ(AbbVie Inc. NYSE: ABBV)の日本法人。抗体医薬などを主力とする研究開発型バイオ医薬品企業である。2013年に米国アボット・ラボラトリーズの研究開発型医薬品事業（いわゆる新薬事業）部門を分離し、アッヴィとして分社独立したことが起源である。国内においても2013年にアボット・ラボラトリーズの日本法人であるアボットジャパンより分社、新薬事業を承継し、事業を本格的に開始した。アッヴィとアボット・ラボラトリーズはそれぞれ完全に独立した企業であり、両社の資本関係及びグループ会社としての関係は存在しない（日本法人においても同様）。
アドメテック,株式会社アドメテック（あどめてっく）は、愛媛県松山市に本社を置く医療機器メーカー。
アボットジャパン,"アボット ジャパン株式会社（ABBOTT JAPAN CO., LTD.）は、日本のヘルスケアカンパニー、製薬会社。米国アボット・ラボラトリーズの日本法人。2003年（平成15年）2月1日、ダイナボット株式会社と北陸製薬株式会社が合併し設立された。ダイナボットは長く診断薬・機器事業が主力であり、医療用医薬品は大日本製薬（現 大日本住友製薬）から販売を行っていたが、北陸製薬との合併後は完全自社販売体制となり医療用医薬品を主力としていた。アボット・ラボラトリーズは2013年に研究開発型医療用医薬品事業（いわゆる新薬事業）を分離し、全世界的にアッヴィ（日本法人はアッヴィ合同会社）として分社した。新薬事業からの撤退により、今後アボット・ラボラトリーズの医薬品事業はエスタブリッシュ製品（長期収載品やブランド後発品）を軸に新興市場に注力することが表明されており、他の事業と共に多角化されたヘルスケアカンパニーとして展開される。"
アラクス,"株式会社アラクス（英称：ARAX Co., Ltd.）は、医薬品製造メーカー。本社は愛知県名古屋市中区。工場は愛知県稲沢市日下部花ノ木町1番地（なお、工場は所在地が稲沢市にあるが「清洲工場」と呼ばれている）。"
アルコン_(企業),"アルコン・インコーポレーテッド（Alcon, Inc.、NYSE: ACL）は、スイス・ヒューネンベルクに本社を置く眼科領域に特化した製薬、医療機器、コンタクトレンズ、レンズケア製品を扱う企業である。アメリカ本社をテキサス州・フォートワースに置く。ノバルティスグループのアイケア部門を担う。本項ではその日本法人、日本アルコン株式会社 (ALCON JAPAN LTD.) についても併せて記述する。"
アルフレッサ_ファーマ,アルフレッサ ファーマ株式会社（英: Alfresa Pharma Corporation）は、大阪市中央区に本社を置く、アルフレッサ ホールディングス傘下の医薬品等製造会社である。
アロエ製薬,アロエ製薬株式会社（アロエせいやく）は、日本の製薬会社。本社は静岡県静岡市にある。社名が示すとおり、アロエを利用した製品を主力としている。2006年に小林製薬の子会社となったが、現在でも創立者の「間宮」の名を冠した商品を販売している。
アンジェス_MG,アンジェス MG株式会社（アンジェスエムジー）は、遺伝子医薬の開発を行う日本のバイオ製薬企業。大阪大学医学部助教授の森下竜一（創業者）による研究成果を基に1999年12月発足。2002年9月に大学発創薬型バイオベンチャー(遺伝子治療薬の創薬企業)として初めて東証マザーズに上場。
アンファー,"アンファー株式会社（ANGFA Co., Ltd.）は、エイジングケア化粧品、健康食品製造販売会社で、育毛シャンプー「スカルプD」が主たる製品である。主にエイジングケア製品の研究開発や製造・販売を手掛け、専門医師が監修する薬用化粧品、サプリメント、商品説明に際して法的制限を受けない第三類医薬品、健康食品等の製造・販売・卸業務を行う。"
イーライリリー・アンド・カンパニー,イーライリリー・アンド・カンパニー（Eli Lilly and Company、NYSE：LLY）は、米国の国際的な製薬会社で、売上高で現在世界9位である。本社は、インディアナ州インディアナポリス市にある。社名は、創業者であるイーライ・リリーに由来している。
イオナ_インターナショナル,イオナ インターナショナル株式会社 (英語: IONA International Corporation) は、基礎化粧品等の製造、販売を行う企業である。社名の由来は、イオン+αから。
